Order-Core,Order_db-Core,Throghput(req/sec),Avg.Latency(ms),90th percentile,99th percentile,Error%,Samples
0.2,0.2,2.3,4278,6505,9102,0.00%,352
0.2,0.4,2.1,4633,7587,10996,0.00%,322
0.2,0.6,2.1,4800,7596,11086,0.00%,314
0.2,0.8,2.2,4563,7297,12185,0.00%,330
0.2,1,2,4916,7592,11564,0.00%,309
0.4,0.2,5.8,1728,2698,4102,0.00%,863
0.4,0.4,5.8,1713,2700,3903,0.00%,876
0.4,0.6,5.5,1819,2796,4492,0.00%,827
0.4,0.8,5.8,1724,2698,3793,0.00%,872
0.4,1,5.6,1772,2694,4983,0.00%,842
0.6,0.2,11,904,1401,2088,0.00%,1646
0.6,0.4,11.2,889,1410,2215,0.00%,1675
0.6,0.6,10.7,933,1492,2307,0.00%,1603
0.6,0.8,10.3,964,1597,2699,0.00%,1550
0.6,1,9.8,1017,1603,2558,0.00%,1469
0.8,0.2,14.7,677,1098,1902,0.00%,2203
0.8,0.4,17.6,568,972,1582,0.00%,2631
0.8,0.6,15.5,643,1095,1707,0.00%,2322
0.8,0.8,16.7,597,989,1486,0.00%,2503
0.8,1,21.2,469,814,1397,0.00%,3176
1,0.2,28.4,350,636,919,0.00%,4246
1,0.4,23.8,419,718,1098,0.00%,3566
1,0.6,24.2,412,701,1194,0.00%,3595
1,0.8,26.2,380,704,1196,0.00%,3913
1,1,24.5,406,702,1195,0.00%,3653
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Order Core,Order db Core,Total Cores,Highest TPS
,,,,0.2,0.2,0.4,2.3
,,,,0.4,0.2,0.6,5.8
,,,,0.6,0.2,0.8,11
,,,,0.8,0.2,1,14.7
,,,,1,0.2,1.2,28.4
,,,,1.2,0.2,1.4,23.8
,,,,1.4,0.2,1.6,24.2
,,,,1.6,0.2,1.8,26.2
,,,,1.8,0.2,2,24.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Order Core,Order db Core,Total Cores,Lowest Latency
,,,,0.2,0.2,0.4,4278
,,,,0.4,0.2,0.6,1728
,,,,0.6,0.2,0.8,904
,,,,0.8,0.2,1,677
,,,,1,0.2,1.2,350
,,,,1.2,0.2,1.4,419
,,,,1.4,0.2,1.6,412
,,,,1.6,0.2,1.8,380
,,,,1.8,0.2,2,406